name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
Australia Awards Masters Scholarships for Africa,Scholarships for Masters studies in Australia for eligible African candidates for postgraduate studies commencing in 2017.,"The scholarship benefits generally include: full tuition fees, return air travel, establishment allowance, contribution to living expenses (CLE), Overseas Student Health Cover (OSHC), etc.","Must be at least 25 and not more than 50 years of age, have at least three years' relevant postgraduate work experience, possess a minimum of a Bachelor's degree, not already hold or be studying for a Masters degree, willing to return to current employment after completion of the award, and meet country-specific and general eligibility criteria for Australia Awards Scholarships.",November,Priority fields include Agriculture and Food Security; Health; Natural Resource Management including Mining and Mining Governance; Public Policy; and Water and Sanitation.,"Applications are currently closed. Check the open and close dates for your country, select your country of citizenship/residency from the list of participating countries for specific information on eligibility, priority areas, and how to apply. Each Country Program has different timelines but the deadline falls around November-December 2016. Visit the official website for detailed and updated information on how to apply for this scholarship.",http://www.australiaawardsafrica.org/,Jf86DoYr90A,Missing data
IO-MBA Program Scholarships at University of Geneva,The International Organizations MBA (IO-MBA) at the University of Geneva has scholarships available for full-time students.,"Scholarship amounts range from 5,000 CHF upward",Eligibility is based on academic merit and financial need.,30 June,International Organizations Master’s in Business Administration,Applications are currently closed. Please visit the website at iomba.ch to apply.,http://iomba.ch/,9sygTpcYDNP,Missing data
Bristol MBA International Scholarship,The University of the West of England Bristol is offering 50% tuition scholarships to outstanding international students who wish to pursue an MBA Degree at the University.,50% of tuition fees,"Applicants must have achieved the equivalent of a British 1st or 2:1 in an undergraduate degree, hold an unconditional offer or a conditional offer where IELTS or equivalent English language is the only condition, be a new student to UWE Bristol with no previous UK study, be classed as overseas for fees purposes, not be a sponsored student or in receipt of another scholarship/award, and provide official transcripts at the time of application.",Apr,Full-time Master of Business Administration (MBA),"To be considered for the Scholarship, applicants will need to cover specific points in their personal statement which should accompany the programme application. Application for the full-time Master of Business Administration (MBA) programme can be made online by selecting the ‘Apply for this course’ option on the web page.",http://www1.uwe.ac.uk/bl/bbs/courses/mba/bristolmbascholarships.aspx,ynqY9xwzXNk,Missing data
EDUFI Doctoral Fellowships in Finland,The EDUFI Fellowships programme is open to young Doctoral level students and researchers from all countries and from all academic fields who wish to pursue their Doctorate (or Double Doctorate) at a Finnish university.,"The scholarship period may vary from 3 to 12 months. The monthly allowance is 1,500 euros. The scholarship is intended to cover living expenses in Finland for a single person.",The prerequisite for applying is that the visiting researcher must have established contacts with a Finnish host university. Only the hosting Finnish university can act as an 'applicant' in the EDUFI Fellowship programme.,Rolling (annual),PhD Degree in all academic fields,"Applications may be considered at all times, but should be submitted at least 5 months before the intended scholarship period. Visit the official website for detailed information on how to apply.",https://www.oph.fi/en/development/edufi-fellowship,5X9PaFLLEY9,Missing data
Roehampton University-Sacred Heart (RUSH) PhD Studentships,"Three fully-funded, full-time PhD studentships available for new overseas students at University of Roehampton, UK starting 1 October 2017.","The scholarship covers the fees at overseas rates, stipend at Research Council UK rates, currently £16,057 (tax-free), and contribution to research project costs. The scholarships are for 3 years, subject to annual assessments of satisfactory progress.","Candidates must meet the standard requirements for PhD study at Roehampton, including academic excellence, nationality and domicile preference for lower-middle income countries, commitment to contributing to the student’s home community, and fit of proposed project to the research environment at Roehampton.",05 December,"PhD Programme in various fields such as education, human rights, theology/philosophy, justice, community service, and environmental development.","Prior to submitting a full application, candidates should contact a potential academic supervisor at Roehampton to discuss their project ideas. Applications should be submitted by 5 December 2016.",http://www.roehampton.ac.uk/Courses/Graduate-School/Funding/,EJzkEYJAC71,Missing data
ISS PhD fellowships in Development Studies,The International Institute of Social Studies (ISS) is offering 5 PhD fellowships in Development Studies within the ISS research programme Global Development and Social Justice.,"PhD students will receive a fellowship of €1,630 per month, plus an additional allowance to cover the costs of their field work. The PhD fellowships are for a maximum period of four years.","The PhD fellowships are available only for citizens of countries that are not part of the European Economic Area. Applicants should have obtained an MA Degree in one of the Social Sciences or equivalent, have a good command of English, and provide names of at least three referees.",15 June,"The PhD fellowships cover research related to Global Development and Social Justice, Migration, Environment and climate change, Social protection and inequality, Conflict, and topics related to the Centre for Frugal Innovation in Africa.",Applications should be submitted to the ISS selection committee PhD fellowships 2016 by email. More information can be obtained from Professor Wil Hout. Applications should be submitted by 15 June 2016.,http://www.iss.nl/news_events/iss_news/detail_news/news/5384-5-phd-positions-in-development-studies,9bo6gZ9AY3D,Missing data
University of West London International Scholarships,The UWL International Scholarship is available to incoming first year undergraduate students at the University of West London. Students submit a 60 second video detailing why they think the University of West London is a great match for them and what they hope to do with their degree.,The International Scholarship Awards comprise one scholarship covering 100% and two scholarships covering 50% of the tuition fees for any full-time 3-year undergraduate degree course studied at the University of West London.,All applicants who already hold an offer of a place on a full-time undergraduate programme at the University of West London commencing in September 2016 are eligible to apply. All applicants must be an international fee-payer to be eligible to apply for the International Scholarships Award.,19 June,Any full-time 3-year undergraduate degree course offered at the University of West London,"To be considered for this once-in-a-lifetime opportunity, please upload a video of up to 60 seconds that demonstrates your passion for your chosen subject, and how you think studying with us will help you achieve your career goals. All videos must be submitted by 19 June 2016.",http://www.uwlinternationalscholarship.com/,ZDpmFXdulHB,Missing data
UNU-INWEH Scholarships in Integrated Drylands Management for Developing Country Students,The Joint Master’s Degree (MSc) Programme on Integrated Drylands Management provides young professionals and scientists an international perspective on integrated resources management approaches in drylands.,"A limited number of Fellowships will cover travel costs, waive tuition fees, and provide accommodation and meals during the course work and research work.","Applicants must be registered in a Master’s degree programme at one of the Programme partner institutes, demonstrate competence in research methodologies, and proficiency in English.",30 June,Masters in Integrated Drylands Management,Submit the completed and signed application form together with supporting documents by the deadline. Read the 2016-2017 Brochure and visit the official website for detailed information.,http://inweh.unu.edu/msc-drylands/,HKLiIDwzUmu,Missing data
Stanford Africa MBA Fellowship,The Stanford Africa MBA Fellowship Program is for citizens of African countries with financial need who wish to obtain an MBA at Stanford GSB.,Stanford Africa MBA Fellows receive financial support for the cost of Stanford MBA tuition and associated fees for the two-year course of study.,"Citizens of African countries who have completed or are in the final year of completing university studies, and must return to work in Africa within two years of Stanford MBA graduation for a period of at least two years.",15 June,Masters in Business Administration (MBA),Applications are currently closed. Visit the official website for detailed information on how to apply.,https://www.gsb.stanford.edu/programs/mba/financial-aid/international-students/stanford-africa-mba-fellowship,7Acih1wJBQC,Missing data
Fondation Rainbow Bridge MBA Scholarships for African and Asian Women,"The Fondation Rainbow Bridge Scholarship is available for women from Asian or African countries affected by natural disasters, drought or famine to pursue an MBA programme at HEC Paris.","€20,000","Top-caliber female candidates admitted to the HEC Paris MBA program with exemplary leadership skills in community work, charity engagement, or sustainable development practices. Women from Asian or African countries affected by natural disasters, drought, or famine.",Jun,Masters in Business Administration (MBA),"Only admitted candidates can apply by submitting an essay on why they should be named the Fondation Rainbow Bridge Scholar at the HEC MBA Program, while identifying their post-MBA goals.",http://www.mba.hec.edu/Fees-Funding/Scholarships/Fondation-Rainbow-Bridge,DzQ1a5qFbYy,Missing data
LJMU Roscoe International Scholarship,"The LJMU Roscoe International Scholarship is a full tuition fee waiver worth up to £12,360 to exceptional international students accepted onto a one year taught Masters programme at LJMU.","Full tuition fee waiver worth up to £12,360.","Overall English IELTS score of 6.5, good first degree (2:1 or equivalent), self-funded student, conditional/unconditional offer to study a full-time Masters programme at LJMU starting in September 2016, valid LJMU applicant ID number, not holding a scholarship from any other source/scheme.",05 June,Any one year taught Masters programme offered at the University,"Applications are currently closed. Before applying for an LJMU scholarship you must have firstly made an application to study at LJMU and be in receipt of an offer from the University, otherwise your application will be rejected. Applicants are also required to have the specified English Language requirement in advance of making a scholarship application.",https://www.ljmu.ac.uk/study/international-students/financing-your-study/scholarships,QoMK51sErUO,Missing data
La Trobe Academic Excellence Scholarships for International Students,La Trobe’s Academic Excellence Scholarships (AES) are targeted towards high achieving international students from all countries across all of La Trobe’s undergraduate and postgraduate coursework programs.,"The scholarship is worth between $10,000 and $20,000 and goes towards tuition fees. The scholarships are paid across a maximum of two semesters (or 12 months).","You must be a citizen of a country other than Australia or New Zealand and be applying to start an undergraduate or postgraduate coursework program. You must also have scored 85% or equivalent in your previous degree/award, and meet our English language and academic entry requirements.",09 September,Any full-time undergraduate or postgraduate coursework offered by the University,"Scholarships are already phased out. You can only apply for this scholarship if you have an offer to study in an undergraduate or postgraduate coursework program program at La Trobe University. After you receive your offer, you must complete the scholarship application form and submit it to La Trobe International by the application deadline.",http://www.latrobe.edu.au/study/costs/international,CiztjRBr8k5,Missing data
INSEAD Nelson Mandela MBA Scholarships for Africans,"To honour the life and work of President Nelson Mandela of South Africa, the scholarship provides financial support for one or more African participants per year at INSEAD in perpetuity.","Up to €20,000","Candidates must be a national of a sub-Saharan African country, have spent a substantial part of their lives and education in Africa, require proven financial assistance, demonstrate outstanding academic achievement, aptitude for business and financial management, commitment to African development, and a likelihood of working in Africa.",07 May,Masters in Business Administration (MBA),Complete the application and submit the required essay by the deadline. There are 2 application deadlines for December 2019 intake – 7 May and 25 June 2018.,https://sites.insead.edu/mba/schlmgmt/dsp_schl_info.cfm?schlcode=AFR02,ZrmFKJs6CRn,Missing data
INSEAD Greendale Foundation MBA Scholarships for Southern and Eastern Africa,The Trustees of the Greendale Foundation wish to provide access to the INSEAD MBA programme to disadvantaged Southern and East Africans who are committed to developing international management expertise in Africa.,"The Greendale Foundation MBA Scholarship will cover €35,000 of the tuition.","Candidates must be nationals from Kenya, Malawi, Mozambique, South Africa, Tanzania, Uganda, Zambia, or Zimbabwe who have undergone the major part of their education in Southern or East Africa.",Apr,Masters in Business Administration (MBA),Candidates are required to submit two essays to apply for the scholarship. The scholarship deadline coincides with admission deadline.,http://mba.insead.edu/schlmgmt/dsp_schl_info.cfm?schlcode=AFRICA%2002,tvqXUVp3b7v,Missing data
Cavendish Research PhD Scholarships at University of Westminster,The Cavendish Research PhD scholarships are for international students from developing countries undertaking a research degree in the Faculty of Science and Technology.,Awards range from half fee award to full fee award.,"You must be a student from a developing country and hold an offer for a full-time MPhil/PhD degree at the University’s Faculty of Science and Technology. The scholarship criteria are: Equivalent to a UK First Class Honours degree, financial need and development potential.",03 May,Full-time MPhil/PhD degree at the University’s Faculty of Science and Technology.,Applications are currently closed. You should only apply for a scholarship once you have applied for admission and successfully been offered a place (either conditional or unconditional) on the course you wish to study. To apply for a scholarship you will need to complete the relevant scholarship application form.,https://www.westminster.ac.uk/study/prospective-students/fees-and-funding/scholarships/international-postgraduate-scholarships/cavendish-research-scholarship,0VCAtZOdj2a,Missing data
Lalji PfAL Scholarship for Sub-Saharan Africans at London School of Economics,LSE is offering a significant scholarship fund for bright African students applying to eligible Masters programs for the 2016/17 academic year.,"A full scholarship covering fees and living costs, with additional benefits such as study seminar series and enrollment in the PfAL@LSE leadership program.",Bachelor's degree and meeting minimum entry requirements for LSE's graduate programs.,04 March,"MSc Development Management, MSc International Development and Humanitarian Emergencies, MSc African Development, MSc Development Studies, MSc Anthropology and Development, MSc Environment and Development, MSc Political Economy of Late Development, MSc Population and Development, MSc Urbanisation and Development, MSc Media, Communications and Development","Complete a PfAL Phase 1 application form, then apply for one of the selected MSc programs (Phase 2) and complete a financial assessment form (Phase 3). Only Phase 1-approved candidates with an offer of a place on an approved MSc program will be assessed for an award.",http://www.lse.ac.uk/internationalDevelopment/programmeForAfricanLeadership/howtoapply.aspx?utm_source=Newsletter%20to%20universities&utm_medium=email&utm_campaign=Recruitment%202015%2F16%20-%20universities,8voYv3M3E1N,Missing data
York World Scholars,York University invites international students to apply to the York World Scholars (YWS) program for a double major Bachelor's degree in various fields.,"The top three World Scholars will receive a tuition waiver of up to $20,000. Additional scholarships are available based on GPA.",Applicants must meet York's international admission requirements.,20 April,"Double Major Bachelor’s degree in various combinations such as Economics and Political Science, Finance and Business Economics, etc.",Applications are currently closed. International applicants can apply through the Ontario Universities Application Centre (OUAC) or the York online application. Two statements of interest are required.,http://laps.yorku.ca/york-world-scholars/,C496EPjh3Lo,Missing data
Vice-Chancellor’s International Postgraduate Scholarships at University of Southern Queensland,"The University of Southern Queensland (USQ) will offer one scholarship in Semester 2, 2016 to an outstanding international student intending to study a full-time postgraduate degree by coursework at the University.","The scholarship will have a maximum value of $5,000.","To be considered for a scholarship, applicants must be an international student studying on-campus at Toowoomba, Springfield, Fraser Coast, or Ipswich, be enrolling in a minimum of four study units, have an excellent Grade Point Average (GPA) of 80% or higher, be commencing study in Semester 2, 2016, and be commencing studies in a postgraduate coursework degree program.",11 March,Any full-time postgraduate degree by coursework taught on-campus at one of the USQ campuses,"To apply for this scholarship, applicants must complete an International Student Application Form and the International Scholarship Application Form and supporting documents. Applications forms can be downloaded at the official website.",http://www.usq.edu.au/scholarships/usq/vice-chancellors-international-postgraduate,TpyQb6A3fGp,Missing data
Ashinaga Scholarships for Orphaned Students from Sub-Saharan Africa,Ashinaga presents the “100-Year Vision: Educational Support for Orphaned Students from Sub-Saharan Africa” aiming to provide higher education to 49 brilliant students from 49 Sub-Saharan countries.,"Ashinaga provides the scholars with a concentrated study camp for six months at their facility, full scholarship and living expenses for four years during their studies abroad.",The scholarships are open to orphaned or bereaved students under the age of 22 from 35 Sub-Saharan Africa who cannot afford to apply to University.,Feb,Any field of study,Applications are done online with no application fee. Deadline for applications is 29 February 2016.,http://ashinaga100-yearvision.org/en/year100/,M7KG0CGE4bO,Missing data
UWE Global Student Scholarships for International Students,"The University of the West of England, Bristol offers more than £100,000 worth of scholarships for international students each year. This includes the Global Student Scholarship wherein the recipient will be required to undertake an internship working within the Global Student Support Office.",Full tuition fee,"To be eligible for the scholarship: Have achieved the equivalent of a British 1st in an undergraduate degree, Hold an unconditional offer or a conditional offer where IELTS or equivalent English language is the only condition, Be a new student to UWE Bristol with no previous UK study, Be classed as overseas for fees purposes, Not be a sponsored student or in receipt of another scholarship/award, Provide official transcripts at the time of application",Mar,"Eligible Postgraduate Programmes offered at the University. The MBA, BPTC, LPC, GDL, MSc Robotics, PhD‘s and continuing professional development courses are not eligible for the postgraduate scholarships.","Applications are currently closed. To apply for this scholarship, you must hold an unconditional offer (or a conditional offer where IELTS or equivalent English language is the only condition) for an eligible Postgraduate Programme at UWE. Once admitted, scholarship applications can be made via a task in the Welcome website by 31 March 2016.",http://www1.uwe.ac.uk/students/feesandfunding/fundingandscholarships/internationalstudentfunding/uweinternationalscholarships/postgraduatescholarships.aspx,hlRrwEqkpBK,Missing data
Cultures of Resistance Scholarships at SOAS University London,"The Cultures of Resistance Scholarships benefit people from countries affected by wars and extreme poverty, with scholars expected to return to their home countries to apply their knowledge and skills for societal betterment.","Each scholarship is valued at £25,500 in total, with fees deducted and the remainder used for maintenance. Scholars also receive free accommodation at International Student House and food vouchers for the ISH restaurant.","Candidates must hold or be expected to obtain a good honours degree, preferably first class, from a UK institution or overseas equivalent. They must also have an offer of admission to pursue a full-time eligible programme by the scholarship closing date.",Feb,"The eligible fields of study include various Master's programs related to development studies, globalisation, migration, conflict, economics, law, and human rights.",Applications are currently closed. Candidates must submit an online application for admission to their program and then apply for the scholarship via the online scholarship application form. Scholarship applications must be received by 24 Feb 2016.,http://www.soas.ac.uk/registry/scholarships/the-cultures-of-resistance-scholarships.html,Gxj5Y2exJXk,Missing data
CID-Harvard Doctoral/Postdoctoral Fellowship,"The Sustainability Science Program at Harvard University offers doctoral, post-doctoral, and mid-career fellowships in Sustainability Science.","Fellowship appointments offer a stipend of $45,830 for post-doctoral fellows, and $25,000 for pre-doctoral fellows, over the ten month academic year (September–June), equivalent to $55,000 and $30,000, respectively, on a yearly basis.","The Sustainability Science Fellowships are open to advanced doctoral and post-doctoral students, and to mid-career professionals engaged in research or practice that advances the goals of the program.",Jan,"Energy and sustainability, specifically decarbonizing energy systems in the European Union and designing, developing, and/or implementing sustainable energy and related resource policies and programs in China.",Applications for the fellowship are due 15 January 2016. It is important to read the application instructions and visit the official website for detailed information on how to apply for this scholarship.,http://www.hks.harvard.edu/centers/cid/programs/sustsci/grants-fellowships/fellows/fellowships-in-sustainability-science,k9Uqx6zpc6u,Missing data
Dorothy Marchus Senesh Fellowships in Peace and Development Studies for Women from Developing Countries,The Dorothy Marchus Senesh Fellowship provides two biennial fellowships awarded to women from the developing world for studies in the field of peace and development studies at any accredited institution around the world.,"The Fellowships provide $5,000 per year for two years for both women, for a total of $10,000 each.","The Dorothy Senesh Fellowship is available to women from developing countries who have completed a Bachelor’s degree, who have been accepted into a graduate program and whose graduate work is to be focused on issues related to the goals of IPRA.",Jan,Graduate Program in Peace and Development Studies,Applications are currently closed. Applications are due by 15 January 2016. It is important to visit the official website for detailed information on how to apply for this scholarship.,http://iprafoundation.org/senesh-announce/,5UI2YALJYeT,Missing data
Bertha Scholarships for Social Innovators in Africa,The Bertha Scholarship covers either the full or partial costs of the MBA and MPhil in Inclusive Innovation programmes at the UCT Graduate School of Business for candidates committed to social innovation and entrepreneurship.,The Bertha Scholarship covers either the full or partial cost of the programme.,"Candidates must be South African / African Citizens and or a Permanent Resident for at least 1 full year. Candidates must have started or worked in an entrepreneurial or social or green venture, or have worked on socially innovative or sustainable strategies within an organization for at least one year.",Nov,"MBA and MPhil in Inclusive Innovation programmes at the UCT GSB. The Bertha Centre is also interested in candidates who are aligned to its key focus areas: Innovative Finance, Inclusive Healthcare Innovation, and Education Innovations.","Candidates must first be eligible, comply with and apply for the MBA or MPhil programmes entrance requirements at the UCT Graduate School of Business. Interested candidates should submit the Bertha Scholarship Application Form together with their UCT application number received from the GSB Admissions Office, contact details, and CV by the deadline 15 November 2015.",http://www.gsb.uct.ac.za/s.asp?p=179,sYS9m7pBBI9,Missing data
African Leaders of Tomorrow Scholarship Program,The ALT Scholarship Program commemorates the late Nelson Mandela’s commitment to social justice and equity by supporting young African professionals to become leaders in public policy and administration.,"The ALT scholarship includes return airfare, tuition fees, monthly living allowances, one-time installation allowance, fixed allowance for books and conferences, health insurance coverage, and study permit fees.","Candidates must be citizens and residents of sub-Saharan Africa, between 22 and 35 years old, have completed an undergraduate degree with a minimum average of B, have 2-5 years of work experience in the public sector, civil society, or research institutions in Africa, be fluent in French or English, and meet all academic requirements of the chosen study program.",Nov,"Master’s degree in public administration, public policy, or public finances at participating Canadian Universities",Candidates must contact the scholarship provider before 27 October 2015 to check eligibility and receive an access code and link to the online application form. The application period is from 8 September 2015 to 2 November 2015.,http://www.cbie.ca/student-portal/african-leaders-of-tomorrow-scholarship-program/2016-competition/,m9vzXXEN2NK,Missing data
The Global Study Awards,"The Global Study Awards encourage young people to study abroad as part of their tertiary studies to experience new countries, cultures, and languages.","An individual global study award has a maximum value of £10,000, which can be used towards tuition fees and living costs for up to 52 weeks.","Applicants must be 18 years or over, have taken an IELTS test at a British Council center, have a valid ISIC or IYTC, plan to enroll in a full-time undergraduate or postgraduate program abroad, and provide an acceptance letter from the institution.",Nov,Any undergraduate or postgraduate program at any university.,Applications are done online through the official website. Detailed information on how to apply can be found on the official scholarship website.,http://www.mastersportal.eu/pages/the-global-study-awards/#fflt:SP_GSA1,mNzfhirkIHc,Missing data
MTN Solution Space Scholarships for Africans,"The Solution Space Scholarships were created to nurture a new generation of leaders that move beyond “business as usual” to envision, develop and test new models that will shape our future.","An MTN Scholarship is awarded for one or maximum of two years and covers the full cost of tuition and registration fees at UCT GSB, as set by the business school.",To be considered for a MTN Scholarship you must be a South African / African citizen and have been a Permanent Resident for at least 1 year. Apply to pursue either the MBA or the MPhil in Inclusive Innovation programme at the UCT GSB.,Nov,"MBA or the MPhil in Inclusive Innovation programme at the UCT GSB. For the academic year 2016-2017, the scholarships will be offered to those passionate about: Education, Health and Wellbeing, Smart Cities, and Open Imagination.",It is not possible to apply for a MTN Scholarship without applying to the business school. Applicants must first be eligible and apply for the academic programme at the UCT GSB (via the Admissions Office). Applicants must then submit the MTN Scholarship Application online form together with their UCT application number received from the UCT GSB Admissions Office and required supporting documents.,http://www.gsb.uct.ac.za/s.asp?p=580,kZO0LJiABi8,Missing data
MasterCard Foundation Scholarship Program for Africans,The vision of The MasterCard Foundation Scholars Program is to educate and develop academically qualified yet economically disadvantaged young people in Africa who will contribute to the transformation of the continent.,"Comprehensive Scholarships covering fees, uniforms, books, supplies, transportation, accommodation, and stipends; 21st Century Skill Building; Transition Support; Give-back Component; Alumni Network",Citizens of Sub-Saharan Africa,January,Approved fields of studies offered by participating Universities/Institutions,Applications must be made directly to the participating university/institution of your choice. Deadline varies but is around January-July 2016. Visit the institution’s or university’s websites and the official website for detailed information on how to apply for this scholarship.,http://mastercardfdnscholars.org/,b72CYzmWH1X,Missing data
World Citizen Talent Scholarship for International Students,"Each year, a maximum of three (one-time) scholarships each worth EUR 5,000 are available to prospective master’s degree students at The Hague University of Applied Sciences.","Each scholarship is worth € 5,000.",Students from outside The Netherlands who are enrolling for the first time at The Hague University of Applied Sciences and have never applied for this scholarship before.,31 March,Masters Programme offered at The Hague University of Applied Sciences,"To apply for the scholarship, applicants must first apply to the Master programme of their choice and write an essay following the essay guidelines. Submit the essay by completing the scholarship application form between 1 November-31 March.",https://www.thehagueuniversity.com/study-choice/masters-professional-courses/scholarships/world-citizen-talent-scholarship,jyJpU8IjkFP,Missing data
University of Otago Doctoral Scholarship,"The University of Otago Doctoral Scholarship provides funding to support doctoral students studying at the University of Otago. The Scholarship is available to both domestic and international students. Candidates for professional doctorates, as well as the PhD, are welcome to apply.","NZ$25,000 stipend per annum plus domestic tuition fees waiver (excludes student services fee and insurance)",Applicants must usually be seeking to obtain their first doctoral qualification. Selection is based predominantly on academic merit and the applicant’s potential for research.,Ongoing,Any eligible PhD Research Programme at the University of Otago,Applications for this scholarship are made online through the eVision portal. Once you have applied for admission to your programme you will receive an alert in your student portal inviting you to apply for a scholarship. Applications for doctoral-level scholarships should usually occur when applying for admission but it is also possible to apply for a scholarship after being admitted.,http://www.otago.ac.nz/study/scholarships/database/otago014687.html,vL5ZIkahIWA,Missing data
Netherlands Fellowship Program for Short Courses,"Nuffic, through the Netherlands Fellowship Programme, provide scholarships for selected short courses offered by education institutions in the Netherlands.","An NFP fellowship is intended to supplement the salary that the fellow should continue to receive during the study period. The allowance covers costs of living, tuition fees, visas, travel, insurance, and thesis research.",The NFP is meant for professionals who are nationals of and work and live in one of the 51 NFP countries. Candidates have to be nominated by their employer to be eligible for the fellowship.,March,NFP-qualified courses offered by Dutch Universities and Institutions.,Apply directly with a Dutch higher education institution offering the NFP-qualified course of your choice. Contact the institution for application procedure.,https://www.studyinholland.nl/scholarships/scholarships-administered-by-nuffic/netherlands-fellowship-programmes,HNpOPKY4cA9,Missing data
Edinburgh Global Health Academy Master’s Scholarship,The University of Edinburgh offers one full-time Master’s scholarship for students pursuing Global Health Academy programmes.,"The scholarship covers the UK/EU 'home' rate of tuition fee of up to £8,100.",The scholarship is awarded based on academic merit to students accepted for admission onto an eligible Global Health Academy programme at the University of Edinburgh.,29 May,"MPH Public Health, MSc Family Medicine, MSc Global Health, MSc Global Health and Public Policy, MSc Health Inequalities and Public Policy, MSc Health Systems and Public Policy, MSc Medical Anthropology, MSc Science Communication and Public Engagement",Eligible applicants should complete an online scholarship application form after applying for admission to the University of Edinburgh and obtaining full EASE authentication.,http://www.ed.ac.uk/student-funding/postgraduate/international/global/health,NTFr5m8gflE,Missing data
ANU International University Scholarship,The International University Scholarships are highly competitive awards offered to successful overseas applicants who have achieved at an excellent level in their final years of schooling before applying for tertiary studies for the first time.,Full tuition plus Overseas Student Health Cover,"The Scholarship is available for overseas students who have not commenced any further education after completing their secondary studies, achieved at an excellent level in their final years of schooling, and received an unconditional offer for admission to the Australian National University.",To be announced (annual),Bachelor’s Degree Programme in any field of study offered at the University,Eligible applicants applying for admission directly to the University or through UAC will automatically be considered. Students will not need to submit a separate scholarship application form to be considered for the scholarship.,http://www.anu.edu.au/students/scholarships-support/anu-international-university-scholarship,6Pib3wPCsA0,Missing data
Canon Collins Distance Learning MBA Scholarships for Africans,Canon Collins Trust selects scholars on behalf of Edinburgh Business School for its distance learning MBA programme.,"This scholarship covers the cost of all tuition, learning materials, and examination fees.","To be eligible, applicants must be a national of and ordinarily resident in a sub-Saharan African country, have a first degree from a recognized university or a professional qualification, be at least 25 years old and not older than 50 years old, have at least 2 years of full-time work experience, and have an operational Internet connection.",25 June,Masters in Business Administration (Distance Learning),Only online applications will be accepted. Deadline is 25 June 2015. It is important to read the Guidelines and visit the official website to access the application form and for detailed information on how to apply for this scholarship.,http://www.canoncollins.org.uk/edinburghmba.html,sB0GkOKReUZ,Missing data
Mexican Government Scholarships for Foreign Students,"The Mexican Government Scholarship Program for International Students offers opportunities for specialization, master's, and doctoral studies, as well as research and academic mobility programs in Mexico.","The scholarship includes a monthly stipend, registration fees, tuition, health insurance, round-trip international airfare, and transportation to and from Mexico City.","Applicants must have a Bachelor's, Master's, or PhD degree, a minimum GPA of 8.0, and be accepted or enrolled in a program at a participating Mexican institution.",August,"The scholarship covers various fields of study except for business administration, plastic surgery, accounting, marketing, dentistry, advertising, and related areas.","Applications must be submitted through the Mexican embassy or concurrent embassy for the applicant's country. The deadline for applications is August 31, 2015.",http://amexcid.gob.mx/index.php/oferta-de-becas-para-extranjeros,eSz5tZ8qurh,Missing data
Roehampton University Sacred Heart Scholarships for International Students,The University of Roehampton and the Society of the Sacred Heart have established a scholarship fund to encourage postgraduate studies and research in areas which promote international understanding and enable candidates to work more effectively in their communities.,The Scholarship will usually consist of the tuition fee and free or subsidised accommodation on the University of Roehampton campus.,"Students for postgraduate study or research from within and outside the UK who have an excellent academic record or equivalent life experience, a commitment to contributing to the wider community, may otherwise be unable to pursue their studies, are likely to make a contribution to international understanding, and intend to contribute to their own communities following graduation.",08 May,"Postgraduate degree in any discipline offered at Roehampton University, United Kingdom",Completed applications forms along with 2 reference letters should be sent by email before 8 May 2015. Applications should include a statement indicating why the candidate wishes to pursue their studies at Roehampton and how they intend to promote international understanding and contribute to their communities following graduation.,http://www.roehampton.ac.uk/Finance/Sacred-Heart-Scholarship-(RUSH)/,SSAXToGStRc,Missing data
Université de Lyon Master’s Scholarships,Scholarships for international students with high-level academic record to join Master’s degree programmes at Université de Lyon,The scholarship is 800 euros/month for a 10-month period,"Foreign Students, Candidate for admission in Masters Year 1 or Year 2, No age conditions",May,"Biosciences, Physics and Chemistry, Nanoscale Engineering, ADMIRE, Altervilles, AlterEurope, Public Policy, Infectious Disease, Architecture de l’information, Cancerologie",There are currently no Master’s scholarships for the academic year 2017/2018. Visit the official website for detailed information on how to apply.,http://lyon-university.org/education/international-master-s-degrees-314154.kjsp?RH=PENstu,OgOongK1ziN,Missing data
Ruth First Scholarships for Southern Africans at Durham University,The aim of the Ruth First Educational Trust is to enable southern African students from historically disadvantaged backgrounds to undertake postgraduate study at the University of Durham.,"The scholarship covers the full payment of tuition fees, stipend for living expenses (12 months), one return air ticket to Durham City from home country, fully funded accommodation and meals at St Chad’s College, settlement allowance, and a contribution to the cost of sending belongings home before departure.","Applicants should hold a relevant honours degree of sufficient standard to be admitted to the chosen Master’s course, not hold a Master’s degree, nor have previously studied at a university outside southern Africa, and show evidence of active involvement in and commitment to voluntary work for the benefit of various causes.",01 March,Any Taught Masters Degree Programme offered at the University of Durham,Do not submit a formal application to Durham University in the hope of winning the Ruth First Scholarship. Only the successful candidate will complete the University application process once the Trust has made its selection and consulted the Department concerned. Completed application forms and supporting documents must be sent to Ruth First Education Trust by 31 March 2015.,https://www.dur.ac.uk/scholarships/postgraduate/university/ruthfirst/,RWLKpZQI5v6,Missing data
